T, A, B, Oc, C, Oj tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
429, -0.428, -0.244, -0.45, 0.436, 0.846, 0.223, 0.247, -0.00274, 0.12, 1.4, -0.21, 0.25, 5.6, 1.6, -0.18, 0.21, 5.4, 1.5, -0.19, 0.23, 5.5, 5.5
369, -0.653, -0.197, 0.102, 0.511, 0.789, 0.425, 0.265, 0.0652, -0.0462, 1.1, 0.33, 0.1, 12, 1.2, 0.33, 0.13, 12, 1.3, 0.33, 0.16, 13, 12
704, -0.411, -0.0839, -0.0334, 0.695, 0.663, 0.422, 0.438, 0.147, 0.0424, 1, 0.44, 0.12, 15, 0.95, 0.41, 0.11, 14, 1, 0.43, 0.12, 15, 15
774, -0.241, -0.0851, -0.291, 0.703, 0.514, 0.478, 0.0305, 0.162, 0.149, 4.5, -0.51, 0.34, 12, 4.1, -0.5, 0.25, 11, 3.8, -0.54, 0.11, 10, 11
460, -0.533, -0.124, -0.232, 0.42, 0.482, 0.039, 0.104, 0.0763, 0.15, 2.5, -0.39, 0.0014, 7.3, 3, -0.39, -0.094, 8, 3.1, 0.36, -0.19, 15, 10
472, -0.716, -0.0947, -0.375, 0.404, 0.468, 0.0591, 0.0593, 0.0388, 0.0673, 2.8, -0.35, 0.0059, 7.4, 1.7, -0.34, -0.12, 6.3, 2, -0.33, -0.034, 6.3, 6.7
432, -0.0396, -0.234, -0.176, 0.192, 0.237, 0.315, 0.166, 0.432, 0.14, 3.3, -0.34, 0.1, 7.9, 5, 0.046, -0.17, 8.7, 3.5, -0.32, 0.049, 7.7, 8.1
743, -0.166, -0.324, -0.0976, 0.465, 0.215, 0.453, 0.162, 0.349, 0.14, 2.9, -0.29, 0.42, 9, 2.8, -0.4, 0.39, 9.4, 2.8, -0.41, 0.39, 9.4, 9.3
289, -0.242, 0.0615, -0.0665, -0.135, 0.0981, 0.325, 0.186, 0.136, 0.112, 2.7, -0.18, -0.24, 6.7, 2.5, -0.23, -0.23, 6.7, 2.1, -0.33, -0.1, 6.6, 6.7
222, -0.292, -0.118, -0.0874, 0.38, 0.103, 0.178, 0.147, 0.5, 0.104, 2, -0.28, 0.35, 7.5, 2, -0.35, -0.056, 6.5, 2, -0.35, 0.2, 7, 7
770, -0.753, -0.093, -0.137, 0.676, 0.275, 0.419, 0.147, 0.228, 0.0703, 3.6, -0.54, 0.073, 10, 4.5, -0.72, -0.23, 13, 2.8, -0.44, -0.3, 9, 11
770, -0.753, -0.093, -0.137, 0.676, 0.275, 0.419, 0.147, 0.228, 0.0703, 4, -0.33, -0.25, 9.1, 3.6, -0.47, -0.7, 13, 4.2, -0.56, 0.17, 11, 11
815, 0.217, -0.246, -0.295, 0.382, 0.663, 0.463, 0.108, 0.147, 0.0405, 5, -0.12, 0.46, 11, 3.9, 0.15, -0.4, 12, 3.8, 0.12, -0.39, 11, 11
472, -0.222, -0.179, -0.231, 0.38, 0.669, 0.462, 0.101, 0.107, 0.15, 7.5, 0.18, -0.54, 18, 6.8, -0.19, -0.095, 9.9, 8.8, -0.016, 0.35, 13, 14
747, -0.0276, -0.353, -0.358, 0.472, 0.635, 0.21, 0.227, 0.348, 0.0125, 3.5, 0.16, 0.48, 13, 3.5, 0.09, 0.47, 11, 3.3, 0.1, 0.49, 11, 12
877, -0.0523, -0.309, -0.362, 0.405, 0.109, 0.0835, 0.425, 0.119, 0.0425, 0.6, -0.37, 0.0029, 5.3, 0.65, -0.41, 0.0018, 5.7, 0.65, -0.41, 0.0016, 5.7, 5.6
239, -0.572, -0.0968, -0.268, 0.73, 0.489, 0.113, 0.654, 0.304, 0.168, 1.5, -0.19, -0.18, 5.1, 1.8, -0.12, -0.22, 5.2, 1.4, -0.26, -0.13, 5.3, 5.2
265, -0.6, -0.0812, -0.283, 0.737, 0.587, 0.225, 0.424, 0.358, 0.164, 1.1, -0.24, 0.15, 5, 1.1, -0.25, 0.13, 5, 1.1, -0.27, 0.12, 5.1, 5
809, 0.341, -0.235, -0.0579, 0.427, 0.672, 0.647, 0.0646, 0.168, 0.115, 1, 0.42, -0.01, 15, 1, 0.42, -0.0019, 15, 1, 0.41, -0.0053, 14, 15
874, 0.0748, -0.246, -0.328, 0.54, 0.668, 0.591, 0.503, 0.231, 0.0963, 4.7, 0.13, -0.4, 12, 4.3, 0.016, -0.43, 10, 3.7, -0.55, 0.027, 10, 11
500, -0.152, -0.204, -0.137, 0.258, 0.433, 0.0235, 0.342, 0.173, 0.131, 30, -0.77, 1, 44, 30, -1.1, 0.84, 44, 30, -0.74, 0.71, 41, 43
481, -0.619, -0.0356, -0.13, 0.217, 0.516, 0.0981, 0.348, 0.172, 0.114, 1.9, 0.15, -0.22, 8.5, 1.9, 0.14, -0.24, 8.5, 1.9, 0.16, -0.23, 8.8, 8.6
