T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
533, -0.296, -0.285, -0.0291, 0.237, 0.639, 0.134, 0.272, 0.368, 1.1, 0.44, -0.014, 15, 1.1, 0.44, -0.029, 15, 1.1, 0.44, -0.023, 15, 15
851, -0.498, -0.202, -0.227, 0.748, 0.252, 0.0182, 0.122, 0.099, 3.7, 0.05, 0.45, 10, 5.4, -0.16, 0.44, 11, 4, -0.36, 0.16, 8.9, 10
1.74e+03, -0.153, -0.179, -0.339, 0.525, 0.662, 0.0944, 0.246, 0.429, 7.6, 0.067, -0.47, 15, 8.2, -0.011, 0.39, 13, 7.8, -0.1, 0.41, 13, 14
806, -0.25, -0.0324, -0.225, 0.00822, 0.581, 0.193, 0.176, 0.429, 21, -0.12, 0.34, 25, 30, 0.24, 0.68, 43, 30, 0.62, 0.27, 50, 39
851, -0.378, -0.202, -0.266, 0.675, 0.639, 0, 0.253, 0.099, 3.8, 0.12, 0.45, 12, 4, 0.13, 0.44, 12, 3.9, 0.13, 0.41, 12, 12
533, -0.498, -0.285, -0.227, 0.748, 0.587, 0.134, 0.122, 0.368, 2.5, -0.094, -0.42, 7.8, 2.5, -0.0095, -0.44, 8, 2.6, 0.25, -0.47, 14, 9.9
408, -0.25, -0.179, -0.339, 0.525, 0.464, 0.0944, 0.253, 0.429, 30, 0.3, 0.22, 41, 30, 0.038, 0.062, 32, 30, 0.0099, -0.027, 31, 35
408, -0.25, -0.179, -0.339, 0.525, 0.464, 0.0944, 0.253, 0.429, 6.7, 0.15, -0.058, 12, 2.7, -0.23, -0.14, 6.4, 30, 0.03, 0.07, 32, 17
806, -0.363, -0.0324, -0.315, 0.748, 0.639, 0.134, 0.246, 0.491, 3.3, -0.23, 0.47, 9.6, 5.1, 0.026, 0.48, 11, 3.7, -0.2, 0.47, 9.8, 10
533, -0.498, -0.202, -0.225, 0.00822, 0.581, 0.112, 0.122, 0.0248, 2, -0.18, -0.22, 5.7, 2.2, 0.061, -0.31, 7.6, 2.2, 0.14, -0.28, 9.1, 7.5
