T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, d1, s1, t2, d2, s2, t3, d3, s3, savg
793, -0.138, -0.247, -0.268, 0.351, 0.671, 0.359, 0.229, 0.123, 6.1, 0.12, 11, 5.1, 0.22, 13, 4.1, 0, 5.1, 9.5
1.29e+03, -0.438, -0.194, -0.212, 0.439, 0.493, 0.376, 0.414, 0.315, 4.7, 0, 5.7, 5.4, 0, 6.4, 5.5, 0, 6.5, 6.2
1.84e+03, -0.0832, -0.187, -0.0387, 0.679, 0.479, 0.382, 0.00933, 0.166, 4.1, 0.22, 12, 4, 0.063, 6.8, 4, 0.016, 5.4, 7.9
1.62e+03, -0.0832, -0.295, -0.212, 0.706, 0.493, 0.376, 0.0115, 0.315, 4.5, 0, 5.5, 4.5, 0, 5.5, 4.5, 0, 5.5, 5.5
1.29e+03, -0.0707, -0.194, -0.248, 0.439, 0.344, 0.203, 0.5, 0.378, 20, 0.074, 23, 20, 0.16, 26, 20, 0.4, 33, 27
1.82e+03, -0.392, -0.108, -0.0586, 0.538, 0.191, 0.359, 0.472, 0.49, 6.8, 0, 7.8, 7.4, 0, 8.4, 16, 0, 17, 11
1.82e+03, -0.112, -0.336, -0.141, 0.0839, 0.332, 0.454, 0.125, 0.233, 13, 0.29, 23, 17, 0.27, 26, 16, 0.4, 28, 26
535, -0.235, -0.135, -0.187, 0.137, 0.645, 0.432, 0.191, 0.185, 5.5, 0, 6.4, 3, 0.069, 6.1, 3.3, 0.12, 7.9, 6.8
1.65e+03, -0.751, -0.102, -0.146, 0.508, 0.631, 0.0658, 0.485, 0.249, 6.8, 0, 7.8, 6.6, 0.29, 16, 6.8, 0, 7.8, 11
1.32e+03, -0.438, -0.187, -0.0819, 0.679, 0.479, 0.382, 0.00933, 0.186, 3.5, 0, 4.4, 3.7, 0, 4.7, 3.7, 0, 4.7, 4.6
1.84e+03, -0.596, -0.39, -0.0387, 0.0452, 0.201, 0.288, 0.0217, 0.166, 8, 0, 8.9, 14, 0, 15, 7.8, 0, 8.8, 11
1.65e+03, -0.235, -0.295, -0.275, 0.508, 0.529, 0.178, 0.485, 0.0719, 6.7, 0, 7.7, 6.7, 0, 7.7, 6.9, 0, 7.9, 7.8
249, -0.637, -0.194, -0.212, 0.353, 0.493, 0.376, 0.5, 0.315, 1.1, 0, 2.2, 1.1, 0, 2.2, 1.1, 0, 2.2, 2.2
1.29e+03, -0.0832, -0.324, -0.018, 0.439, 0.5, 0.235, 0.337, 0.27, 4.5, 0.11, 8.7, 4.5, 0, 5.5, 4.8, 0, 5.8, 6.7
1.35e+03, -0.0707, -0.235, -0.248, 0.0599, 0.671, 0.203, 0.5, 0, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
1.29e+03, -0.516, -0.194, -0.248, 0.439, 0.344, 0.203, 0.229, 0.378, 3.2, 0, 4.2, 4.1, 0.073, 7.3, 3.5, 0, 4.5, 5.3
249, -0.0707, -0.324, -0.018, 0.439, 0.344, 0.203, 0.5, 0.378, 2.7, 0.36, 14, 2.4, 0.35, 14, 3, 0.26, 12, 13
1.29e+03, -0.342, -0.194, -0.248, 0.353, 0.5, 0.325, 0.0248, 0.0369, 7.4, 0, 8.4, 8.1, 0, 9.1, 5.8, 0, 6.8, 8.1
1.82e+03, -0.392, -0.39, -0.0387, 0.279, 0.201, 0.359, 0.125, 0.233, 10, 0, 11, 9.4, 0, 10, 9.7, 0.37, 22, 15
1.84e+03, -0.596, -0.336, -0.0586, 0.0452, 0.332, 0.288, 0.0217, 0.166, 8.9, 0, 9.9, 20, 0.071, 23, 11, 0, 12, 15
1.32e+03, -0.738, -0.194, -0.212, 0.439, 0.35, 0.45, 0.229, 0.315, 5.7, 0, 6.7, 3.9, 0, 4.9, 6.2, 0.069, 9.3, 7
1.35e+03, -0.516, -0.22, -0.146, 0.409, 0.493, 0.463, 0.412, 0.226, 5.4, 0, 6.4, 6.8, 0, 7.8, 4.9, 0, 5.9, 6.7
1.62e+03, -0.751, -0.0351, -0.214, 0.238, 0.191, 0.0658, 0.436, 0.249, 3.9, 0, 4.9, 3.5, 0, 4.5, 3.5, 0, 4.5, 4.6
535, -0.245, -0.102, -0.146, 0.137, 0.645, 0.454, 0.191, 0.187, 3.8, 0, 4.8, 3.4, 0, 4.4, 3.8, 0.22, 11, 6.9
358, -0.596, -0.26, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.315, 2.5, 0.4, 16, 20, 1, 51, 4, 0.45, 19, 28
358, -0.392, -0.39, -0.0783, 0.727, 0.204, 0.229, 0.0217, 0.449, 2.5, 0.52, 19, 20, 0.72, 43, 2.6, 0.55, 20, 27
793, -0.392, -0.336, -0.254, 0.0599, 0.204, 0.359, 0.229, 0.233, 1.2, 0, 2.2, 1.2, 0, 2.2, 1.3, 0, 2.3, 2.2
358, -0.138, -0.247, -0.0783, 0.538, 0.671, 0.45, 0.125, 0.123, 1.1, 0.45, 15, 1.1, 0.45, 15, 1.1, 0.44, 15, 15
358, -0.541, -0.149, -0.218, 0.15, 0.204, 0.0759, 0.0217, 0.255, 1.9, 0, 2.9, 2.7, 0, 3.7, 1.9, 0, 2.8, 3.2
811, -0.596, -0.39, -0.0783, 0.727, 0.366, 0.229, 0.201, 0.315, 3.7, 0.66, 24, 3.4, 0.66, 24, 3.5, 0.33, 14, 21
1.29e+03, -0.0832, -0.0531, -0.212, 0.439, 0.204, 0.229, 0.07, 0.315, 20, 0, 21, 11, 0, 12, 8.4, 0, 9.4, 14
358, -0.716, -0.194, -0.0783, 0.727, 0.493, 0.376, 0.5, 0.315, 3.9, 0.18, 10, 2.2, 0.22, 9.9, 2.5, 0.3, 13, 11
949, -0.0778, -0.0607, -0.216, 0.352, 0.449, 0.461, 0.338, 0.33, 5.2, 0, 6.2, 5.5, 0, 6.4, 20, 0, 21, 11
1.15e+03, -0.0718, -0.319, -0.0346, 0.494, 0.522, 0.257, 0.171, 0.326, 3.5, 0.043, 5.7, 3.5, 0.1, 7.5, 3.5, 0, 4.4, 5.9
1.17e+03, -0.144, -0.324, -0.064, 0.353, 0.212, 0.235, 0.337, 0.27, 7.8, 0, 8.9, 9.1, 0.12, 14, 7.1, 0, 8.1, 10
358, -0.596, -0.39, -0.0783, 0.727, 0.366, 0.229, 0.201, 0.315, 2.9, 0.42, 16, 2.7, 0.27, 12, 2.5, 0.39, 15, 15
811, -0.596, -0.39, -0.0783, 0.727, 0.204, 0.229, 0.0217, 0.315, 4.5, 0.35, 16, 3, 0, 4.1, 4.7, 0.86, 32, 17
267, -0.0707, -0.235, -0.254, 0.279, 0.671, 0.13, 0.414, 0.123, 3.2, 0.52, 20, 4.2, 0.63, 24, 3.4, 0.56, 21, 22
1.29e+03, -0.0832, -0.295, -0.0682, 0.0599, 0.529, 0.376, 0.201, 0.0719, 5.7, 0.16, 12, 5.7, 0.24, 14, 5.6, 0.13, 10, 12
1.35e+03, -0.716, -0.194, -0.0783, 0.727, 0.493, 0.203, 0.5, 0, 4.1, 0.49, 20, 4.2, 0.24, 12, 4.2, 0.35, 16, 16
358, -0.0707, -0.235, -0.248, 0.0599, 0.671, 0.376, 0.5, 0.315, 4.5, 0, 5.5, 3.8, 0.16, 9.6, 4.5, 0, 5.4, 6.8
