T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
437, -0.304, -0.0979, -0.371, 3.07, 1.06, 0.102, 0.326, 0.173, -0.0126, 0.7, 0.4, -0.014, 14, 0.7, 0.39, -0.017, 13, 0.7, 0.39, -0.02, 13, 13
486, -0.496, -0.0862, -0.372, 2.43, 0.378, -0.00883, 0.468, 0.142, 0.0458, 1.1, -0.37, 0.0014, 5.8, 1.1, -0.38, 0.0095, 5.9, 1.2, -0.36, -0.001, 5.8, 5.8
231, -0.708, -0.212, -0.277, 1.02, 0.517, 0.187, 0.644, 0.64, 0.151, 1.1, -0.17, 0.0079, 3.8, 1.1, -0.18, 0.019, 3.9, 1.1, -0.18, 0.054, 4, 3.9
236, -0.761, -0.0476, -0.33, 1.16, 0.808, 0.219, 0.539, 0.73, 0.148, 15, 2, -0.26, 76, 15, 1.5, -0.98, 65, 15, 1.5, 0.78, 64, 69
393, -0.561, -0.126, -0.0743, 1.32, 1.52, 0.419, 0.364, 0.318, 0.176, 0.62, 0.29, -0.0016, 10, 0.62, 0.3, -0.011, 11, 0.62, 0.29, -0.014, 10, 10
401, -0.719, -0.361, -0.52, 2.17, 1.11, 0.388, 0.471, 0.918, 0.16, 0.75, 0.4, 0.052, 14, 0.75, 0.4, 0.057, 14, 0.75, 0.4, 0.057, 14, 14
347, -0.169, -0.136, -0.298, 1.61, 0.697, -0.0487, 0.285, 0.192, 0.208, 3.2, -0.11, -0.33, 7.6, 3.3, -0.29, -0.43, 9.5, 2.7, -0.044, -0.043, 4.3, 7.1
347, -0.924, -0.0934, -0.251, 1.09, 0.919, 0.146, 0.294, 0.191, 0.132, 0.8, 0.4, -0.0051, 14, 0.77, 0.4, 0.0055, 14, 0.77, 0.4, 0.0046, 14, 14
458, -0.824, -0.0984, -0.185, 1.05, 0.668, 0.257, 0.418, -0.423, 0.125, 2.7, 0.55, 0.19, 20, 3.1, 0.57, 0.28, 22, 2.5, 0.59, 0.083, 21, 21
137, -0.597, -0.0984, -0.484, 1.12, 0.608, 0.287, 0.437, -0.408, 0.321, 15, 0.38, -0.022, 27, 15, 0.13, -0.93, 28, 15, -0.43, -0.99, 27, 27
527, -0.522, -0.166, -0.215, -0.632, 1.15, 0.423, 0.61, 0.122, 0.376, 0.65, 0.35, -0.019, 12, 0.62, 0.34, -0.014, 12, 0.62, 0.34, -0.013, 12, 12
500, -0.779, -0.239, -0.139, 3.09, 0.722, 0.156, 0.384, 0.0454, 0.0571, 1.1, 0.45, -0.12, 16, 1.6, 0.59, -0.068, 20, 1.1, 0.44, -0.11, 16, 17
